driver_id,name,city,signup_date,time,rating
94,Driver_94,Calgary,2023/08/01,7:27:00 AM,4.3
95,Driver_95,Montreal,2021/11/26,12:24:00 AM,4.3
96,Driver_96,Calgary,2023/12/08,4:07:00 PM,3.8
97,Driver_97,Boston,2022/04/30,5:37:00 AM,4.6
98,Driver_98,Montreal,2023/11/10,10:18:00 AM,4.6
99,Driver_99,Los Angeles,2022/11/12,1:33:00 PM,4.5
100,Driver_100,Calgary,2022/12/03,8:37:00 AM,4.4
101,Driver_101,Toronto,2022/01/21,2:35:00 AM,3.8
102,Driver_102,Boston,2021/04/10,11:03:00 AM,4.3
103,Driver_103,Los Angeles,2021/02/02,4:12:00 PM,4.3
104,Driver_104,Ottawa,2023/05/11,11:41:00 AM,4.1
105,Driver_105,Boston,2023/07/04,2:38:00 AM,4.4
106,Driver_106,Boston,2021/01/12,4:05:00 AM,4.7
107,Driver_107,Toronto,2023/09/08,9:13:00 AM,5
108,Driver_108,New York,2021/12/22,3:34:00 PM,4.6
109,Driver_109,Toronto,2021/02/18,7:09:00 PM,4.6
110,Driver_110,Los Angeles,2021/04/21,1:45:00 AM,4.5
111,Driver_111,Calgary,2022/01/05,5:27:00 PM,3.5
112,Driver_112,San Francisco,2023/11/06,5:17:00 AM,4.5
113,Driver_113,Vancouver,2021/11/29,7:19:00 PM,4.5
114,Driver_114,Calgary,2021/07/25,12:56:00 PM,5
115,Driver_115,Ottawa,2023/06/15,2:43:00 AM,4.4
116,Driver_116,Vancouver,2022/01/13,11:35:00 AM,4.7
117,Driver_117,Vancouver,2022/09/25,8:17:00 AM,4.5
118,Driver_118,Boston,2021/05/27,12:43:00 PM,3.9
119,Driver_119,Toronto,2023/10/21,4:39:00 PM,5
120,Driver_120,Montreal,2022/07/05,9:10:00 AM,4.9
121,Driver_121,Montreal,2022/10/01,3:00:00 PM,4.9
122,Driver_122,Vancouver,2021/03/26,3:38:00 AM,4
123,Driver_123,Toronto,2021/04/05,3:48:00 AM,5
124,Driver_124,Montreal,2022/06/12,2:07:00 AM,3.8
125,Driver_125,Toronto,2022/01/22,6:34:00 AM,4.8
126,Driver_126,Boston,2021/10/23,11:30:00 AM,5
127,Driver_127,Calgary,2022/11/28,9:31:00 PM,4
128,Driver_128,Chicago,2022/10/18,8:53:00 AM,4.2
129,Driver_129,Chicago,2022/03/09,4:54:00 PM,4.5
130,Driver_130,Vancouver,2022/01/24,1:27:00 AM,4.2
131,Driver_131,Toronto,2022/11/20,9:06:00 AM,3.7
132,Driver_132,Calgary,2021/06/02,2:18:00 AM,4.5
133,Driver_133,New York,2023/10/11,1:43:00 AM,4
134,Driver_134,Calgary,2021/01/23,10:12:00 PM,4.7
135,Driver_135,Toronto,2022/01/03,4:51:00 AM,4
136,Driver_136,Chicago,2022/09/24,8:12:00 AM,5
137,Driver_137,Vancouver,2023/01/18,6:20:00 PM,4.1
138,Driver_138,Boston,2022/09/15,11:51:00 PM,4.3
139,Driver_139,New York,2021/09/13,6:07:00 PM,4.9
140,Driver_140,Montreal,2021/01/04,8:21:00 AM,3.9
141,Driver_141,Montreal,2022/02/16,11:29:00 PM,4.6
142,Driver_142,Vancouver,2022/03/20,2:51:00 AM,5
143,Driver_143,Montreal,2023/12/19,2:48:00 AM,3.7
144,Driver_144,Calgary,2023/10/26,4:21:00 AM,4.6
145,Driver_145,Vancouver,2021/08/29,11:14:00 AM,4.6
146,Driver_146,Boston,2022/04/06,10:04:00 PM,4.9
147,Driver_147,Boston,2021/04/01,8:24:00 PM,3.9
148,Driver_148,Ottawa,2023/04/23,6:30:00 AM,3.8
149,Driver_149,New York,2022/05/03,4:02:00 AM,4.8
150,Driver_150,New York,2021/03/19,9:26:00 PM,4.6
151,Driver_151,Ottawa,2023/01/11,3:57:00 PM,4.6
152,Driver_152,Calgary,2023/04/06,1:49:00 AM,4.7
153,Driver_153,Chicago,2021/03/30,8:37:00 AM,4.2
154,Driver_154,Calgary,2021/05/05,10:46:00 AM,4.6
155,Driver_155,Chicago,2021/04/17,10:39:00 AM,4.6
156,Driver_156,Ottawa,2021/04/16,1:45:00 PM,4.1
157,Driver_157,Boston,2022/09/20,5:50:00 AM,5
158,Driver_158,Toronto,2023/06/04,11:02:00 PM,4.7
159,Driver_159,Boston,2023/06/19,7:40:00 AM,3.9
160,Driver_160,Ottawa,2021/03/03,5:40:00 PM,4.8
161,Driver_161,Ottawa,2021/05/08,8:33:00 AM,4
162,Driver_162,Montreal,2023/10/19,4:38:00 AM,4.9
163,Driver_163,Ottawa,2023/05/29,1:11:00 AM,5
164,Driver_164,Calgary,2022/05/07,11:07:00 AM,4.1
165,Driver_165,San Francisco,2021/11/14,7:20:00 AM,5
166,Driver_166,Los Angeles,2022/01/06,6:51:00 PM,4.7
167,Driver_167,San Francisco,2022/09/07,7:57:00 PM,4.9
168,Driver_168,Chicago,2023/11/10,10:25:00 AM,5
169,Driver_169,San Francisco,2022/12/12,6:34:00 AM,4.4
170,Driver_170,Los Angeles,2021/04/23,4:36:00 PM,4.1
171,Driver_171,New York,2022/12/13,10:07:00 PM,4.1
172,Driver_172,Ottawa,2023/05/25,1:55:00 PM,4.1
173,Driver_173,Toronto,2021/04/24,7:21:00 PM,4.5
174,Driver_174,Calgary,2021/11/28,2:58:00 AM,4.7
175,Driver_175,Calgary,2022/02/16,11:23:00 PM,4.6
176,Driver_176,Chicago,2022/06/27,3:59:00 AM,4.9
177,Driver_177,Toronto,2022/01/15,11:34:00 AM,4.5
178,Driver_178,Los Angeles,2022/03/19,5:06:00 PM,5
179,Driver_179,Chicago,2022/11/12,4:42:00 PM,4.4
180,Driver_180,Calgary,2023/12/29,9:52:00 PM,5
181,Driver_181,San Francisco,2023/08/09,4:59:00 AM,4.8
182,Driver_182,Calgary,2021/01/13,3:39:00 AM,4.1
183,Driver_183,Calgary,2022/04/11,1:38:00 AM,4
184,Driver_184,Toronto,2021/07/28,2:44:00 PM,4.7
185,Driver_185,San Francisco,2021/06/29,7:29:00 AM,4.4
186,Driver_186,Toronto,2023/05/10,9:40:00 AM,4.9
187,Driver_187,Chicago,2022/02/28,1:52:00 AM,4.7
188,Driver_188,San Francisco,2023/07/29,1:41:00 PM,4.5
189,Driver_189,Boston,2022/06/17,3:30:00 PM,4.1
190,Driver_190,Boston,2023/12/04,11:45:00 PM,3.7
191,Driver_191,San Francisco,2023/02/25,3:00:00 AM,4.3
192,Driver_192,Vancouver,2022/01/26,2:28:00 AM,4.9
193,Driver_193,New York,2021/05/24,9:08:00 AM,4.6
194,Driver_194,Montreal,2022/03/06,7:23:00 PM,3.9
195,Driver_195,New York,2021/01/06,12:11:00 PM,4.6
196,Driver_196,Los Angeles,2021/07/23,5:18:00 AM,4.7
197,Driver_197,San Francisco,2021/09/09,12:12:00 AM,4.1
198,Driver_198,Vancouver,2023/05/08,12:08:00 AM,4.6
199,Driver_199,Montreal,2023/05/22,8:07:00 AM,4.5
200,Driver_200,New York,2021/06/23,6:57:00 PM,3.9
201,Driver_201,Toronto,2023/12/10,11:04:00 AM,4.7
202,Driver_202,Chicago,2023/04/28,1:04:00 PM,4.8
203,Driver_203,New York,2022/07/28,1:22:00 PM,5
204,Driver_204,Ottawa,2023/05/09,7:37:00 AM,5
205,Driver_205,Chicago,2022/10/30,3:36:00 PM,3.8
206,Driver_206,Chicago,2021/03/06,11:29:00 PM,4
207,Driver_207,San Francisco,2022/07/21,11:11:00 AM,4.8
208,Driver_208,New York,2022/07/10,8:05:00 PM,4.8
209,Driver_209,Boston,2023/11/26,1:17:00 PM,4.8
210,Driver_210,Boston,2023/11/03,1:04:00 AM,5
211,Driver_211,Toronto,2022/07/04,10:05:00 AM,4.8
212,Driver_212,Calgary,2022/09/24,6:50:00 AM,5
213,Driver_213,Ottawa,2021/08/29,2:09:00 AM,5
214,Driver_214,Boston,2021/09/10,10:30:00 AM,4.8
215,Driver_215,Chicago,2022/10/03,11:26:00 AM,4.3
216,Driver_216,New York,2021/10/06,3:03:00 PM,4.9
217,Driver_217,Los Angeles,2022/10/02,1:46:00 PM,4.1
218,Driver_218,Boston,2022/02/19,11:14:00 AM,4.4
219,Driver_219,Chicago,2023/12/26,9:32:00 AM,4.3
220,Driver_220,Toronto,2022/08/18,6:11:00 AM,4.5
221,Driver_221,New York,2023/01/02,4:35:00 AM,5
222,Driver_222,Boston,2021/11/07,12:36:00 AM,3.6
223,Driver_223,Vancouver,2022/06/28,4:12:00 AM,4.8
224,Driver_224,San Francisco,2021/12/20,1:22:00 PM,3.7
225,Driver_225,Boston,2021/02/06,6:16:00 PM,4.3
226,Driver_226,Boston,2022/09/11,11:53:00 PM,5
227,Driver_227,Los Angeles,2022/03/09,7:04:00 PM,4.5
228,Driver_228,Toronto,2022/03/10,2:32:00 PM,4
229,Driver_229,Los Angeles,2023/09/24,12:10:00 PM,4.1
230,Driver_230,Calgary,2022/09/13,9:05:00 PM,4.8
231,Driver_231,Calgary,2022/05/30,10:09:00 AM,4.1
232,Driver_232,New York,2021/06/29,4:15:00 AM,4.6
233,Driver_233,San Francisco,2021/10/05,9:29:00 AM,4.5
234,Driver_234,Ottawa,2022/02/17,9:18:00 AM,4.2
235,Driver_235,New York,2021/06/18,9:32:00 AM,5
236,Driver_236,Ottawa,2022/11/07,1:42:00 AM,4.8
237,Driver_237,Los Angeles,2022/05/03,6:44:00 AM,3.5
238,Driver_238,Montreal,2023/07/31,5:06:00 PM,4.6
239,Driver_239,Calgary,2021/06/29,3:35:00 PM,4.2
240,Driver_240,Montreal,2023/06/15,4:45:00 PM,4.9
241,Driver_241,Boston,2022/01/31,4:44:00 PM,4.1
242,Driver_242,New York,2022/11/09,9:24:00 AM,4.4
243,Driver_243,New York,2023/03/19,4:02:00 PM,4.8
244,Driver_244,Calgary,2023/12/03,11:53:00 PM,4.9
245,Driver_245,Boston,2022/07/20,7:09:00 PM,3.9
246,Driver_246,Montreal,2021/04/19,4:48:00 PM,4.3
247,Driver_247,Los Angeles,2023/08/27,12:55:00 AM,4.3
248,Driver_248,Los Angeles,2023/10/28,12:52:00 PM,4.2
249,Driver_249,Toronto,2022/04/12,12:49:00 PM,5
250,Driver_250,Calgary,2022/04/26,10:58:00 AM,4.7
251,Driver_251,Montreal,2022/05/22,4:58:00 PM,3.9
252,Driver_252,Montreal,2023/12/20,1:48:00 AM,5
253,Driver_253,San Francisco,2023/05/12,5:59:00 AM,5
254,Driver_254,Chicago,2021/10/26,12:19:00 AM,5
255,Driver_255,Montreal,2023/10/30,10:21:00 PM,3.7
256,Driver_256,Montreal,2023/11/19,4:14:00 AM,4.3
257,Driver_257,Chicago,2023/08/15,4:03:00 AM,5
258,Driver_258,Ottawa,2022/04/13,12:13:00 PM,4.1
259,Driver_259,Montreal,2023/05/02,4:34:00 AM,4.7
260,Driver_260,New York,2022/04/18,1:16:00 AM,4.9
261,Driver_261,San Francisco,2021/11/23,12:10:00 PM,4
262,Driver_262,Montreal,2023/06/20,11:23:00 PM,4.5
263,Driver_263,Ottawa,2023/10/15,1:11:00 AM,2.9
264,Driver_264,Los Angeles,2022/12/24,8:00:00 AM,4
265,Driver_265,Vancouver,2022/11/18,8:54:00 PM,4.4
266,Driver_266,Boston,2023/03/06,1:56:00 AM,3.9
267,Driver_267,Vancouver,2021/09/21,2:33:00 PM,5
268,Driver_268,Toronto,2022/03/17,8:19:00 PM,3.8
269,Driver_269,Calgary,2023/10/29,6:15:00 AM,4.3
270,Driver_270,Ottawa,2022/06/05,4:43:00 PM,4.6
271,Driver_271,Toronto,2021/12/31,8:32:00 PM,5
272,Driver_272,San Francisco,2021/12/15,11:12:00 PM,3.8
273,Driver_273,Boston,2021/08/17,9:45:00 PM,5
274,Driver_274,New York,2021/03/13,6:58:00 PM,4.5
275,Driver_275,Boston,2023/01/09,2:22:00 AM,4
276,Driver_276,Ottawa,2021/04/24,3:13:00 AM,4.7
277,Driver_277,Vancouver,2022/10/06,7:28:00 PM,4.6
278,Driver_278,Ottawa,2021/10/30,1:04:00 AM,4.2
279,Driver_279,Montreal,2023/02/07,11:43:00 PM,4.5
280,Driver_280,Montreal,2022/01/15,12:23:00 AM,4.3
281,Driver_281,Chicago,2023/10/17,3:36:00 AM,4.6
282,Driver_282,New York,2021/06/15,1:51:00 PM,4.8
283,Driver_283,Montreal,2021/12/06,10:59:00 PM,5
284,Driver_284,Chicago,2023/12/18,1:28:00 AM,3.9
285,Driver_285,Calgary,2022/12/23,3:40:00 PM,5
286,Driver_286,New York,2023/05/16,9:35:00 PM,3.5
287,Driver_287,Boston,2021/07/08,12:34:00 PM,4.4
288,Driver_288,Vancouver,2021/07/27,3:14:00 AM,4.8
289,Driver_289,Vancouver,2023/11/04,1:06:00 AM,4.6
290,Driver_290,Calgary,2023/05/19,6:14:00 AM,4.2
291,Driver_291,Ottawa,2022/05/08,9:43:00 PM,4.4
292,Driver_292,Vancouver,2023/08/10,5:20:00 PM,4.3
293,Driver_293,Calgary,2022/10/25,10:02:00 PM,4.2
294,Driver_294,Calgary,2022/11/24,4:51:00 PM,4.9
295,Driver_295,Chicago,2023/01/08,9:08:00 AM,4.7
296,Driver_296,Vancouver,2022/02/07,3:21:00 PM,4.2
297,Driver_297,Boston,2023/09/18,1:44:00 PM,4.9
298,Driver_298,San Francisco,2023/03/21,7:27:00 PM,4.7
299,Driver_299,Vancouver,2023/09/01,2:52:00 PM,4.9
300,Driver_300,Boston,2022/03/03,1:44:00 PM,4.8
301,Driver_301,Vancouver,2021/05/01,8:47:00 AM,4.1
302,Driver_302,San Francisco,2021/12/31,6:33:00 AM,4.2
303,Driver_303,San Francisco,2022/06/06,5:18:00 PM,4.9
304,Driver_304,Los Angeles,2023/04/20,2:20:00 AM,4.8
305,Driver_305,Toronto,2021/08/03,10:57:00 PM,4.5
306,Driver_306,Chicago,2021/12/26,6:03:00 AM,4.6
307,Driver_307,Montreal,2023/12/15,12:19:00 AM,5
308,Driver_308,Chicago,2021/11/29,8:44:00 AM,4.2
309,Driver_309,Toronto,2022/10/07,11:23:00 AM,4.8
310,Driver_310,Montreal,2022/05/30,12:09:00 AM,4.4
311,Driver_311,Calgary,2022/12/25,6:55:00 PM,4.4
312,Driver_312,Montreal,2021/04/07,5:26:00 PM,5
313,Driver_313,Boston,2022/10/15,4:05:00 PM,4.9
314,Driver_314,Montreal,2023/06/27,8:03:00 AM,4.9
315,Driver_315,New York,2023/06/14,7:17:00 AM,5
316,Driver_316,Montreal,2023/01/11,11:05:00 PM,4.5
317,Driver_317,New York,2022/07/01,10:31:00 AM,4.8
318,Driver_318,San Francisco,2022/08/29,7:45:00 PM,4.3
319,Driver_319,Montreal,2023/04/17,2:19:00 AM,4.7
320,Driver_320,Calgary,2023/07/27,2:53:00 AM,4.4
321,Driver_321,Boston,2023/01/29,10:30:00 AM,4.5
322,Driver_322,Boston,2022/02/28,11:45:00 PM,4.8
323,Driver_323,Montreal,2023/01/25,10:02:00 AM,4.1
324,Driver_324,New York,2022/08/28,1:38:00 AM,5
325,Driver_325,Los Angeles,2023/11/06,1:24:00 AM,4
326,Driver_326,Montreal,2021/09/14,9:18:00 AM,3.9
327,Driver_327,Vancouver,2021/07/18,6:18:00 AM,5
328,Driver_328,Ottawa,2023/04/10,5:34:00 PM,4.9
329,Driver_329,New York,2022/09/05,2:08:00 AM,4.8
330,Driver_330,Ottawa,2023/05/27,6:03:00 PM,4.8
331,Driver_331,New York,2021/05/11,9:47:00 AM,4.5
332,Driver_332,Montreal,2021/07/30,7:14:00 PM,4.1
333,Driver_333,Vancouver,2021/10/10,7:20:00 AM,4.5
334,Driver_334,New York,2022/02/09,3:19:00 AM,4.2
335,Driver_335,Montreal,2022/05/24,12:35:00 PM,5
336,Driver_336,Boston,2022/12/08,8:25:00 AM,4.4
337,Driver_337,Los Angeles,2022/06/09,6:55:00 AM,4.1
338,Driver_338,Montreal,2022/03/09,6:09:00 AM,4.3
339,Driver_339,Montreal,2022/01/27,9:21:00 PM,4.7
340,Driver_340,Toronto,2023/01/01,2:18:00 PM,4.2
341,Driver_341,New York,2023/04/18,10:59:00 PM,4.1
342,Driver_342,New York,2022/06/28,3:28:00 PM,4.6
343,Driver_343,Boston,2023/10/07,11:07:00 PM,4.6
344,Driver_344,Toronto,2023/10/10,11:10:00 AM,4.2
345,Driver_345,New York,2021/02/18,4:52:00 AM,4.3
346,Driver_346,Boston,2021/11/06,4:42:00 PM,4.6
347,Driver_347,New York,2023/08/24,5:04:00 AM,3.8
348,Driver_348,Chicago,2022/01/06,1:36:00 PM,3.8
349,Driver_349,Chicago,2023/01/06,3:38:00 PM,4.1
350,Driver_350,Toronto,2023/05/27,2:18:00 AM,4.4
351,Driver_351,Boston,2022/12/24,9:43:00 AM,4.7
352,Driver_352,San Francisco,2022/07/28,1:24:00 AM,5
353,Driver_353,Chicago,2023/07/31,5:19:00 AM,4.9
354,Driver_354,Ottawa,2021/06/27,10:05:00 PM,4.4
355,Driver_355,Chicago,2022/04/29,4:22:00 AM,4.5
356,Driver_356,Toronto,2023/06/18,10:55:00 PM,4
357,Driver_357,New York,2022/04/30,2:36:00 PM,4.5
358,Driver_358,Ottawa,2023/11/19,5:20:00 AM,4.4
359,Driver_359,Montreal,2022/09/09,4:20:00 AM,4.7
360,Driver_360,Boston,2021/04/29,1:21:00 AM,4.1
361,Driver_361,Ottawa,2023/12/09,7:58:00 PM,4.8
362,Driver_362,Boston,2021/06/08,7:09:00 AM,5
363,Driver_363,San Francisco,2023/11/29,11:01:00 PM,4.4
364,Driver_364,Ottawa,2021/07/08,1:15:00 AM,4.7
365,Driver_365,Ottawa,2021/03/05,7:10:00 PM,4.8
366,Driver_366,Los Angeles,2023/04/08,2:10:00 PM,4.3
367,Driver_367,Montreal,2023/10/25,3:18:00 PM,4.6
368,Driver_368,Los Angeles,2021/04/18,2:53:00 AM,4.5
369,Driver_369,Calgary,2023/10/03,10:09:00 PM,4.5
370,Driver_370,Los Angeles,2021/01/20,3:42:00 PM,4.1
371,Driver_371,Montreal,2023/02/01,12:02:00 PM,4.5
372,Driver_372,Toronto,2022/11/05,10:55:00 AM,4.7
373,Driver_373,Los Angeles,2023/09/15,8:19:00 AM,5
374,Driver_374,Vancouver,2021/08/26,3:55:00 PM,5
375,Driver_375,Montreal,2021/10/01,2:51:00 PM,5
376,Driver_376,Calgary,2023/10/08,10:48:00 AM,4.1
377,Driver_377,San Francisco,2023/08/15,6:52:00 PM,4.9
378,Driver_378,Calgary,2023/01/22,2:05:00 AM,4.6
379,Driver_379,Vancouver,2022/11/08,3:23:00 PM,5
380,Driver_380,Ottawa,2022/02/21,10:30:00 PM,4.1
381,Driver_381,Los Angeles,2022/01/17,8:43:00 AM,4.1
382,Driver_382,Toronto,2022/03/10,7:11:00 AM,4.2
383,Driver_383,Vancouver,2022/01/14,7:53:00 PM,3.4
384,Driver_384,Vancouver,2023/06/05,5:32:00 AM,4.2
385,Driver_385,Ottawa,2023/11/04,11:52:00 PM,4.1
386,Driver_386,Montreal,2022/06/07,1:46:00 PM,4.6
387,Driver_387,New York,2023/02/07,9:04:00 PM,4.7
388,Driver_388,Los Angeles,2021/10/10,11:28:00 AM,5
389,Driver_389,Vancouver,2021/11/26,12:24:00 PM,5
390,Driver_390,Los Angeles,2022/02/06,8:04:00 AM,4.2
391,Driver_391,Los Angeles,2022/03/11,10:25:00 AM,4.1
392,Driver_392,Ottawa,2023/12/26,6:01:00 AM,4.7
393,Driver_393,San Francisco,2023/05/14,9:23:00 AM,3.8
394,Driver_394,New York,2023/03/14,1:15:00 PM,5
395,Driver_395,Boston,2021/05/13,11:52:00 PM,5
396,Driver_396,Boston,2022/09/24,8:44:00 AM,4.3
397,Driver_397,Vancouver,2023/05/13,10:28:00 AM,3.6
398,Driver_398,Boston,2023/12/09,7:46:00 PM,5
399,Driver_399,Vancouver,2023/10/01,9:00:00 AM,4.4
400,Driver_400,Vancouver,2022/11/28,5:09:00 AM,5
401,Driver_401,New York,2021/05/25,1:16:00 PM,3.7
402,Driver_402,San Francisco,2021/12/11,5:42:00 AM,4.2
403,Driver_403,Montreal,2023/12/11,3:41:00 PM,4.5
404,Driver_404,Boston,2022/04/21,4:11:00 PM,4.5
405,Driver_405,Ottawa,2022/07/28,6:04:00 AM,4.3
406,Driver_406,Vancouver,2023/05/10,6:58:00 PM,4.8
407,Driver_407,Calgary,2022/06/19,12:12:00 AM,4
408,Driver_408,Montreal,2023/05/05,11:58:00 PM,4.4
409,Driver_409,Los Angeles,2022/07/01,12:26:00 PM,4.6
410,Driver_410,Vancouver,2022/02/25,8:29:00 PM,4.8
411,Driver_411,San Francisco,2022/01/26,1:00:00 PM,4.9
412,Driver_412,Boston,2021/07/07,10:22:00 AM,3.9
413,Driver_413,Boston,2022/05/06,4:28:00 AM,3.7
414,Driver_414,Toronto,2023/04/13,10:27:00 AM,5
415,Driver_415,Chicago,2021/10/25,1:09:00 PM,4.7
416,Driver_416,Boston,2023/01/23,4:13:00 AM,4.1
417,Driver_417,San Francisco,2023/07/05,9:23:00 PM,5
418,Driver_418,Calgary,2023/07/17,1:58:00 AM,4.6
419,Driver_419,San Francisco,2021/06/06,3:53:00 AM,5
420,Driver_420,Boston,2022/04/06,4:52:00 AM,4.5
421,Driver_421,Boston,2022/07/15,2:37:00 PM,5
422,Driver_422,Chicago,2022/04/15,1:21:00 PM,5
423,Driver_423,New York,2023/04/10,5:59:00 PM,4.4
424,Driver_424,Chicago,2022/03/03,3:04:00 AM,5
425,Driver_425,New York,2021/03/26,4:52:00 PM,4.8
426,Driver_426,Calgary,2022/03/30,7:38:00 PM,5
427,Driver_427,Chicago,2023/09/18,9:30:00 PM,4
