payment_id,ride_id,amount,method,paid_date,time
376,376,9.82,cash,2021/02/06,6:14:00 PM
377,377,22.1,card,2021/05/18,2:56:00 PM
378,378,27.81,cash,2021/05/14,6:19:00 AM
379,379,63.69,paypal,2024/07/03,9:54:00 PM
381,381,14.7,cash,2022/02/25,2:56:00 AM
382,382,39.07,card,2023/03/31,9:49:00 PM
383,383,36.95,card,2021/04/13,10:02:00 AM
385,385,46.59,card,2023/03/18,6:34:00 AM
387,387,55.3,voucher,2021/07/08,12:15:00 PM
388,388,78.09,cash,2023/06/01,11:19:00 PM
389,389,63.55,card,2024/12/21,4:17:00 PM
390,390,21.28,card,2022/12/16,9:18:00 AM
391,391,34.75,card,2024/02/13,7:20:00 PM
394,394,13.13,card,2021/05/31,10:18:00 AM
396,396,40.91,voucher,2022/02/07,2:54:00 PM
397,397,56.81,voucher,2021/01/29,6:47:00 AM
399,399,52.48,paypal,2023/06/12,10:07:00 PM
400,400,19.07,voucher,2022/09/21,7:20:00 AM
402,402,73.79,voucher,2021/05/23,8:07:00 AM
403,403,19.97,voucher,2023/07/16,3:13:00 PM
404,404,34.76,voucher,2021/02/22,8:19:00 AM
405,405,14.17,cash,2021/07/31,4:58:00 AM
407,407,43.19,cash,2023/08/21,7:49:00 PM
408,408,19.49,voucher,2023/05/03,7:45:00 PM
409,409,32.3,cash,2023/05/27,9:23:00 PM
412,412,33.6,paypal,2021/05/20,10:29:00 AM
413,413,64.23,voucher,2024/02/16,8:06:00 PM
414,414,45.86,voucher,2023/10/15,7:41:00 AM
415,415,22,paypal,2024/03/13,8:27:00 AM
416,416,60.96,voucher,2024/09/21,7:53:00 PM
417,417,38.69,cash,2024/08/16,6:51:00 PM
418,418,52.75,cash,2022/01/03,2:22:00 PM
420,420,73.01,cash,2023/02/03,1:16:00 AM
421,421,11.53,paypal,2023/11/22,10:46:00 AM
422,422,39.91,paypal,2022/09/01,11:32:00 PM
423,423,21.21,voucher,2021/08/26,4:18:00 AM
425,425,35.01,voucher,2023/08/27,4:40:00 PM
426,426,22.57,cash,2023/09/20,9:09:00 PM
427,427,43.94,voucher,2023/03/04,5:15:00 PM
428,428,25.68,paypal,2022/01/01,2:14:00 PM
429,429,64.11,paypal,2022/10/14,8:58:00 AM
431,431,73.17,cash,2022/07/09,12:23:00 PM
432,432,5.99,cash,2022/03/16,6:46:00 PM
433,433,23.77,card,2021/10/31,8:27:00 PM
434,434,39.28,voucher,2024/08/24,2:35:00 PM
435,435,36.97,paypal,2022/03/23,4:40:00 PM
436,436,66.7,card,2022/03/07,5:04:00 PM
437,437,29.27,voucher,2022/02/08,10:55:00 AM
439,439,26.16,card,2024/05/31,3:28:00 AM
441,441,51.15,cash,2021/08/10,1:22:00 AM
442,442,23.08,cash,2021/09/11,11:56:00 AM
443,443,3.07,cash,2023/07/10,1:17:00 AM
444,444,64.72,cash,2024/12/28,5:13:00 PM
445,445,48.3,paypal,2024/03/11,10:55:00 AM
447,447,73.4,cash,2024/12/31,3:48:00 AM
448,448,34.69,voucher,2023/06/23,9:48:00 PM
449,449,57.6,paypal,2021/01/15,4:41:00 PM
450,450,69.77,cash,2022/06/09,2:55:00 PM
453,453,66.41,paypal,2022/10/25,11:47:00 PM
454,454,24.75,cash,2024/07/20,7:48:00 PM
455,455,0.45,paypal,2022/08/20,9:23:00 PM
457,457,60.37,card,2024/11/03,4:41:00 PM
459,459,69.15,paypal,2024/09/10,3:10:00 PM
460,460,9.27,cash,2024/07/04,11:02:00 AM
461,461,61.45,paypal,2023/11/06,2:54:00 AM
462,462,13.97,cash,2023/11/02,5:02:00 AM
463,463,26.03,cash,2022/11/10,7:41:00 PM
464,464,15.4,cash,2024/03/08,9:39:00 PM
466,466,26.25,paypal,2021/01/16,12:02:00 AM
467,467,47.92,card,2022/02/05,9:48:00 PM
468,468,26.97,voucher,2023/04/17,2:29:00 AM
469,469,71.65,paypal,2021/04/13,11:52:00 AM
471,471,9.78,voucher,2021/06/06,7:33:00 PM
472,472,34.72,paypal,2023/12/21,7:32:00 PM
473,473,2.92,cash,2022/04/27,9:27:00 AM
474,474,6.39,voucher,2024/03/28,7:22:00 AM
475,475,72.23,card,2023/02/25,10:46:00 AM
476,476,62.49,paypal,2023/01/04,11:26:00 PM
477,477,25.43,card,2023/04/29,5:59:00 AM
479,479,26.03,paypal,2022/02/08,7:55:00 AM
480,480,71.7,voucher,2022/08/19,12:42:00 PM
482,482,13.57,paypal,2022/11/17,10:55:00 PM
483,483,38.22,voucher,2021/07/10,8:10:00 AM
484,484,28.52,voucher,2023/10/30,9:41:00 AM
486,486,12.67,paypal,2022/04/14,6:22:00 PM
487,487,33.87,voucher,2021/09/09,4:09:00 PM
488,488,7.48,voucher,2023/04/01,8:52:00 AM
489,489,57.67,cash,2022/11/29,1:23:00 AM
491,491,25.22,cash,2023/05/03,2:31:00 AM
492,492,27.34,card,2021/07/14,7:31:00 PM
494,494,14.23,card,2023/07/08,2:54:00 PM
495,495,47.39,voucher,2022/01/01,2:01:00 PM
496,496,84.28,cash,2021/08/13,11:05:00 PM
497,497,78.24,paypal,2024/08/19,7:08:00 AM
499,499,37.57,cash,2024/01/10,1:35:00 AM
500,500,36.96,paypal,2023/12/31,9:37:00 AM
501,501,73.19,voucher,2021/11/23,8:29:00 AM
503,503,66.3,cash,2022/12/24,1:21:00 AM
505,505,30.31,cash,2021/06/27,3:38:00 AM
508,508,69.05,cash,2023/05/04,7:03:00 PM
509,509,50.81,voucher,2024/07/11,1:41:00 PM
510,510,43.36,voucher,2022/12/23,5:55:00 PM
511,511,63.61,cash,2024/12/06,4:51:00 AM
512,512,25.63,card,2023/06/26,3:35:00 AM
513,513,15.31,paypal,2024/11/25,6:56:00 AM
515,515,57.9,paypal,2023/04/19,6:52:00 PM
516,516,71.83,cash,2021/04/05,2:10:00 PM
517,517,2.38,voucher,2021/06/18,10:50:00 PM
518,518,5.92,voucher,2021/09/03,11:37:00 AM
519,519,41.69,cash,2023/06/09,1:02:00 PM
521,521,70.51,paypal,2022/10/15,4:11:00 AM
522,522,35.12,voucher,2023/09/29,6:36:00 AM
523,523,54.83,paypal,2021/02/06,9:14:00 AM
524,524,37.7,voucher,2024/06/21,5:37:00 PM
525,525,29.24,cash,2021/03/11,7:14:00 AM
526,526,72.92,cash,2021/03/14,4:23:00 AM
528,528,0.84,paypal,2021/02/23,6:21:00 PM
529,529,54.38,paypal,2021/11/17,11:51:00 AM
530,530,3.53,cash,2024/06/11,4:34:00 PM
531,531,50.87,cash,2023/08/19,8:58:00 AM
532,532,19.72,paypal,2024/08/21,6:00:00 PM
533,533,65.63,paypal,2024/05/01,11:45:00 PM
534,534,38.35,paypal,2024/08/13,4:25:00 AM
535,535,16.76,voucher,2023/04/15,8:42:00 PM
536,536,23.54,cash,2021/07/16,6:54:00 AM
538,538,39.8,voucher,2021/07/28,12:49:00 AM
539,539,46.41,cash,2021/04/27,11:05:00 PM
540,540,27.1,voucher,2024/11/09,2:09:00 AM
541,541,22.98,paypal,2021/05/25,8:54:00 AM
542,542,77.05,card,2021/07/25,7:14:00 PM
544,544,60.99,card,2022/05/10,7:56:00 PM
545,545,36.93,card,2024/11/08,12:44:00 AM
546,546,29.84,voucher,2024/04/05,4:28:00 PM
547,547,17.2,voucher,2022/02/22,6:42:00 AM
548,548,61.39,paypal,2021/06/14,1:24:00 PM
549,549,43.04,voucher,2022/02/25,9:34:00 PM
550,550,15.29,cash,2022/01/05,10:01:00 AM
551,551,42.37,voucher,2023/07/08,1:57:00 PM
552,552,26.18,voucher,2023/12/12,4:37:00 PM
553,553,14.11,paypal,2022/01/03,1:58:00 AM
554,554,37.61,paypal,2021/06/20,1:43:00 AM
555,555,13.32,card,2021/03/06,10:02:00 AM
556,556,26.75,cash,2021/12/31,6:29:00 AM
557,557,10.86,card,2021/05/29,1:55:00 AM
558,558,25,voucher,2023/04/24,10:00:00 AM
560,560,60.06,paypal,2024/04/18,5:32:00 PM
561,561,41.83,paypal,2024/02/24,1:10:00 AM
562,562,51.52,card,2021/09/19,11:00:00 AM
564,564,58.05,card,2024/03/18,9:22:00 PM
565,565,57.82,cash,2024/03/21,9:45:00 PM
566,566,44.45,cash,2024/03/27,9:25:00 AM
567,567,24.47,cash,2021/09/10,11:55:00 AM
568,568,68.71,voucher,2021/01/18,7:41:00 PM
569,569,24.53,card,2021/07/28,7:15:00 PM
571,571,24.95,paypal,2024/07/22,3:48:00 PM
572,572,67.33,cash,2024/02/20,10:30:00 AM
573,573,55.05,cash,2023/08/20,9:42:00 PM
576,576,40.85,cash,2021/06/22,7:39:00 AM
577,577,28.5,card,2021/07/21,4:32:00 PM
578,578,36.92,card,2021/01/23,10:22:00 PM
579,579,20.94,card,2021/05/21,1:48:00 AM
582,582,16.87,cash,2022/06/27,3:55:00 AM
583,583,28.38,card,2021/10/05,3:15:00 PM
584,584,17.41,paypal,2024/11/28,12:27:00 AM
587,587,44.5,card,2024/08/07,3:35:00 PM
588,588,68.41,paypal,2021/10/11,9:54:00 PM
590,590,10.95,paypal,2024/04/28,3:31:00 AM
591,591,35.61,cash,2022/11/28,11:58:00 PM
592,592,72.57,voucher,2023/04/13,7:08:00 PM
594,594,80.94,voucher,2024/02/15,3:54:00 AM
595,595,24.42,card,2022/06/11,12:34:00 PM
596,596,44.99,paypal,2021/05/23,12:19:00 AM
598,598,13.9,paypal,2021/05/01,4:43:00 PM
600,600,31.42,cash,2022/03/05,11:56:00 AM
601,601,69.14,voucher,2024/03/14,10:16:00 PM
602,602,55.27,cash,2022/12/28,1:27:00 AM
603,603,40.03,card,2023/10/21,11:17:00 PM
604,604,45.62,voucher,2023/08/04,11:39:00 PM
605,605,13.28,card,2024/08/02,6:14:00 PM
606,606,45.45,cash,2024/07/30,9:58:00 PM
607,607,5.75,paypal,2022/10/02,9:41:00 PM
608,608,16.68,paypal,2022/01/21,6:10:00 AM
609,609,8.88,paypal,2022/09/08,7:00:00 PM
610,610,45.14,voucher,2023/12/25,6:32:00 PM
611,611,8.96,voucher,2022/09/30,11:33:00 AM
612,612,11.14,paypal,2021/01/26,3:33:00 AM
613,613,75.55,card,2021/12/05,6:39:00 PM
614,614,1.69,cash,2023/01/02,7:01:00 AM
615,615,20.61,card,2023/03/12,3:30:00 AM
617,617,21.55,paypal,2021/08/03,12:36:00 PM
618,618,14.48,cash,2024/04/03,10:11:00 AM
619,619,30.17,voucher,2022/09/25,12:19:00 PM
621,621,26.35,voucher,2021/10/03,12:38:00 PM
622,622,7.43,card,2023/04/14,11:10:00 AM
623,623,33.51,cash,2022/05/17,2:12:00 PM
624,624,1.91,voucher,2024/11/21,12:43:00 PM
626,626,56.22,voucher,2023/12/17,9:49:00 AM
627,627,17.36,card,2022/05/23,6:52:00 PM
628,628,63.53,card,2023/05/29,3:17:00 PM
630,630,29.59,voucher,2023/08/02,9:20:00 AM
631,631,82.56,voucher,2024/04/20,4:19:00 AM
632,632,63.71,paypal,2024/01/31,7:05:00 PM
634,634,66.41,cash,2023/09/30,8:05:00 AM
635,635,40.44,paypal,2024/04/14,10:12:00 PM
637,637,53.91,cash,2022/10/03,11:44:00 AM
638,638,45.07,voucher,2023/03/09,5:42:00 AM
639,639,79.88,voucher,2021/09/05,1:07:00 PM
